Guests;Price avg;Ranking position avg;Number of views;Price difference;Hotel name;Location;Distance;Type;Quality;Rating;Special;Review;Description;Bedrooms;Living Rooms;Bathrooms;Kitchens;Surface Area (m2);Total Beds;Individual Beds;Double Beds;Double Large Beds;Double Extralarge Beds;Sofa Beds;Bunk Beds
8;617.0;297.0;134;-115.0;APARTAMENTOS CASERIA DE COMARES;Zaidín, Granada;2600;apartamento;3;9.1;;240;3×;1;0;3;3;0;6;0;3;0;0;3;0
2;146.0;304.0;15;-72.0;APARTAMENTOS CASERIA DE COMARES;Zaidín, Granada;2600;apartamento;3;9.1;;240;Apartamento de 1 dormitorio;1;1;1;1;35;3;2;0;0;0;1;0
8;402.0;335.0;3;-161.0;APARTAMENTOS CASERIA DE COMARES;Zaidín, Granada;2600;apartamento;3;9.1;;240;1×;1;1;1;1;40;2;0;1;0;0;1;0
4;195.0;156.0;75;5.0;APARTAMENTOS NURIA 19;Centro de Granada, Granada;300;apartamento;4;9.2;;67;Apartamento de 2 dormitorios;2;1;1;1;55;2;0;1;1;0;0;0
4;228.0;209.0;73;35.0;APN Duplex Elvira;Albaicín, Granada;400;apartamento;3;9.1;;33;Apartamento de 2 dormitorios;2;1;1;1;65;5;4;0;0;0;1;0
8;590.0;188.0;136;-81.0;APN Hatabin;Centro de Granada, Granada;150;apartamento;3;8.8;preferente;639;2×;2;0;2;2;0;6;4;0;0;0;2;0
4;234.0;134.0;107;29.0;APN Hatabin;Centro de Granada, Granada;150;apartamento;3;8.8;preferente;639;Apartamento;1;1;1;1;56;3;2;0;0;0;1;0
8;489.0;191.0;101;-128.0;APN Rio Darro;Albaicín, Granada;250;apartamento;3;8.5;plus;739;2×;1;0;2;2;0;6;4;0;0;0;2;0
6;498.0;227.0;26;119.0;APN Rio Darro;Albaicín, Granada;250;apartamento;3;8.5;plus;739;1×;1;1;1;1;30;1;0;1;0;0;0;0
4;206.0;63.0;112;11.0;APN Rio Darro;Albaicín, Granada;250;apartamento;3;8.5;plus;739;Apartamento de 1 dormitorio;1;1;1;1;56;3;2;0;0;0;1;0
6;283.0;67.0;230;-47.0;ARABIAL DELUXE II;Barrio de Ronda, Granada;1200;apartamento;3;8.9;;169;Apartamento;2;1;1;0;65;3;0;2;0;0;1;0
6;343.0;171.0;124;-95.0;ARABIAL DELUXE III;Barrio de Ronda, Granada;2600;apartamento;3;9.0;;71;Apartamento de 2 dormitorios;2;0;0;0;0;3;0;2;0;0;1;0
6;784.0;241.0;35;90.0;AT SAN ISIDRO CENTRO;Barrio de Ronda, Granada;500;apartamento;3;9.5;;103;1×;1;1;1;1;40;2;0;1;0;0;1;0
4;527.0;241.0;1;13.0;AT SAN ISIDRO CENTRO;Barrio de Ronda, Granada;500;apartamento;3;9.5;;104;Apartamento de 1 dormitorio;1;1;1;1;60;2;0;1;0;0;1;0
8;492.0;252.0;76;93.0;Abadia Suites;Beiro, Granada;1100;apartamento;3;8.4;preferente;235;Habitación Doble;0;0;0;0;0;1;0;1;0;0;0;0
8;996.0;278.0;66;98.0;Abadia Suites;Beiro, Granada;1100;apartamento;3;8.4;preferente;235;1×;0;0;1;1;25;1;1;0;0;0;0;0
8;1104.0;231.0;21;436.0;Abadia Suites;Beiro, Granada;1100;apartamento;3;8.4;preferente;233;1×;1;1;1;1;30;1;0;1;0;0;0;0
8;610.0;238.0;245;14.0;Abadía Hotel;Centro de Granada, Granada;800;hotel;2;8.5;plus;507;1×;0;0;0;0;0;2;2;0;0;0;0;0
8;979.0;242.0;9;164.0;Abadía Hotel;Centro de Granada, Granada;800;hotel;2;8.5;plus;501;1×;0;0;0;0;28;2;2;0;0;0;0;0
2;220.0;315.0;45;37.0;Acera del Darro, céntrico;Centro de Granada, Granada;700;apartamento;4;9.2;;111;Apartamento Superior;1;1;1;1;46;2;0;1;0;0;1;0
2;142.0;246.0;32;-56.0;Acogedor apartamento en Albaicin;Albaicín, Granada;450;apartamento;3;8.3;;45;Apartamento de 1 dormitorio;1;0;0;0;0;1;0;1;0;0;0;0
4;240.0;166.0;31;13.0;Acogedor apartamento pleno centro de Granada y PARKING;Centro de Granada, Granada;600;apartamento;4;8.5;;109;Apartamento de 2 dormitorios;2;1;1;1;80;3;0;1;0;0;0;2
4;280.0;354.0;1;-84.0;Acogedor piso a un paso de Granada Capital.;Granada;4300;apartamento;3;8.9;;7;Apartamento de 2 dormitorios;2;1;1;1;65;2;0;1;1;0;0;0
6;306.0;101.0;135;30.0;Acogedor y céntrico con parking;Barrio de Ronda, Granada;600;apartamento;3;9.3;;30;Apartamento de 3 dormitorios;3;1;2;1;90;5;4;1;0;0;0;0
4;322.0;252.0;10;15.0;Acogedor y silencioso Dúplex Albaicín, cerca del Mirador de San Nicolás;Granada;1400;apartamento;3;9.8;;18;Apartamento de 3 dormitorios;3;0;1;1;83;4;2;2;0;0;0;0
4;284.0;304.0;2;-50.0;Acogedor Ático en Pleno Centro;Centro de Granada, Granada;500;apartamento;3;7.5;;32;Apartamento de 2 dormitorios;2;0;0;0;0;3;2;1;0;0;0;0
2;130.0;273.0;23;-125.0;Acogedora Habitacion en apartamento compartido amplio y céntrico;Genil, Granada;1300;;0;8.7;;27;Habitación Doble con baño compartido;0;0;0;0;0;1;0;0;1;0;0;0
4;414.0;226.0;2;-88.0;Acogedora Suite en centro de Granada;Centro de Granada, Granada;500;apartamento;3;7.7;;92;Suite Doble Estándar;2;1;1;0;80;3;0;2;0;0;1;0
4;222.0;329.0;10;19.0;Agradable casa con patio junto Mirador de San Nicolás;Albaicín, Granada;800;apartamento;4;9.3;;12;Casa de 2 dormitorios;2;0;1;1;65;2;0;2;0;0;0;0
2;177.0;275.0;49;10.0;Agradable piso en el centro histórico;Centro de Granada, Granada;700;;0;8.4;;48;Apartamento de 1 dormitorio;1;1;1;0;0;2;0;1;0;0;1;0
8;380.0;161.0;72;-37.0;AiA EXCLUSIVE APARTMENTS;Centro de Granada, Granada;500;apartamento;4;9.1;;315;1×;1;1;1;1;57;2;0;0;1;0;1;0
4;230.0;124.0;32;-4.0;AiA EXCLUSIVE APARTMENTS;Centro de Granada, Granada;500;apartamento;4;9.1;;315;Apartamento de 2 dormitorios;2;1;1;1;64;3;2;0;1;0;0;0
8;426.0;177.0;166;-67.0;AiA LOFT BIBRAMBLA;Centro de Granada, Granada;250;apartamento;3;9.0;;255;1×;1;1;1;1;37;2;0;0;1;0;1;0
2;273.0;254.0;30;98.0;Aile Granada - Hostatel;Centro de Granada, Granada;300;apartamento;3;8.2;preferente;41;Apartamento con balcón;1;1;1;0;0;1;0;1;0;0;0;0
4;262.0;220.0;29;29.0;Aixa Granada;Beiro, Granada;2500;apartamento;4;9.9;;81;Apartamento de 3 dormitorios;3;0;0;0;0;4;1;2;0;0;0;1
2;156.0;296.0;20;1.0;Albahaca Haven Luxury Center;Barrio de Ronda, Granada;1400;apartamento;4;9.4;;13;Apartamento de 1 dormitorio;1;0;0;0;0;1;0;1;0;0;0;0
6;618.0;200.0;90;359.0;Albaicin Alhambra Views private terrace;Albaicín, Granada;450;apartamento;4;9.3;preferente;27;Apartamento;3;1;2;1;110;5;2;0;2;0;1;0
4;759.0;265.0;8;360.0;Albaicin Luxury Apartments;Beiro, Granada;800;apartamento;4;9.0;;7;Apartamento;2;0;1;1;70;3;2;1;0;0;0;0
6;457.0;194.0;81;40.0;Albayda Garden;Beiro, Granada;3800;apartamento;4;10.0;;21;Apartamento de 2 dormitorios;2;1;2;1;85;3;0;2;0;0;1;0
8;514.0;258.0;120;-125.0;Albergue Inturjoven Granada;Barrio de Ronda, Granada;1800;hotel;2;7.9;;317;Habitación Doble con baño privado - 2 camas;0;0;0;0;0;2;2;0;0;0;0;0
4;270.0;325.0;3;22.0;Alcaiceria;Centro de Granada, Granada;100;apartamento;3;8.8;;77;Apartamento de 2 dormitorios;2;1;1;1;65;4;2;1;0;0;1;0
4;307.0;261.0;3;-140.0;Alcazaba;Barrio de Ronda, Granada;450;;0;6.5;;28;Apartamento de 1 dormitorio;1;0;0;0;0;2;0;1;0;0;1;0
8;343.0;142.0;1;-111.0;Alh Patio Apartamentos;Albaicín, Granada;700;apartamento;3;9.0;preferente;501;2×;1;0;2;2;0;4;0;0;2;0;2;0
6;578.0;325.0;3;149.0;Alh Patio Apartamentos;Albaicín, Granada;700;apartamento;3;9.0;preferente;501;1×;2;1;1;1;36;1;0;0;1;0;0;0
8;412.0;185.0;5;-34.0;Alh Patio Apartamentos;Albaicín, Granada;700;apartamento;3;9.0;preferente;501;1×;1;1;1;1;38;2;0;0;1;0;1;0
8;597.0;167.0;36;3.0;Alh Patio Apartamentos;Albaicín, Granada;700;apartamento;3;9.0;preferente;501;1×;2;1;1;1;50;3;2;1;0;0;0;0
6;285.0;115.0;169;-16.0;Alhamar Granada centro;Barrio de Ronda, Granada;600;apartamento;4;8.9;destacado;46;Apartamento Ático;2;1;2;1;95;3;0;1;0;1;1;0
4;205.0;293.0;74;14.0;Alhambra Boqueron 2;Centro de Granada, Granada;600;apartamento;3;9.1;destacado;137;Apartamento de 2 dormitorios;2;0;1;1;10;2;0;1;1;0;0;0
4;229.0;188.0;9;-60.0;Alhambra Catedral Centro;Albaicín, Granada;200;apartamento;3;7.8;;6;Apartamento de 2 dormitorios;2;0;0;0;0;2;0;2;0;0;0;0
2;431.0;395.0;1;155.0;Alhambra Dream;Albaicín, Granada;700;apartamento;4;9.0;;3;Apartamento;2;1;2;1;90;4;2;0;1;0;1;0
8;639.0;106.0;77;154.0;Alhambra Luxury Albaicin;Albaicín, Granada;1100;apartamento;4;9.2;;5;Casa;4;0;3;1;190;5;2;3;0;0;0;0
